clue,answer,ans_length
Quickly take horse from native American,APACE,5
"Bother sandboy, now and then",ADO,3
Cheating player playing craps hard,CARDSHARP,9
Public school dismisses head for a lot of speed?,TON,3
Tirade about a member of parliament that’s unrestrained,RAMPANT,7
Singer in first ENO Rigoletto,TENOR,5
Eroded around front of ship — not so good,WORSE,5
Visitor caught everyone with Queen,CALLER,6
New impression of non-monarchy and leaderless country,REPUBLICATION,13
Father has a chap returning hat,PANAMA,6
Choirmaster’s beginning to repeat part of Mass,CREDO,5
The man’s gaining tons in robbery,HEIST,5
Moving to a more select café?,TEAROOM,7
Black and silver item of luggage,BAG,3
A short month before Speaker becomes a moderniser of the House?,DECORATOR,9
Barrister that’s soft and smooth,SILK,4
Sheriff’s officer to leave money for waiters,TIPSTAFF,8
Chap gets older but copes,MANAGES,7
Proposer is Shaker’s companion?,MOVER,5
"Tricky problem, brewing artisan beer",BRAIN-TEASER,12
Everyone in short dash for US city,DALLAS,6
Pictures came in for restoration,CINEMA,6
"Appear, as moths tend to?",COME TO LIGHT,"4,2,5"
Present of francs given to monarch,OFFER,5
"I won’t itemise the rest, even quickly",AND SO ON,"3,2,2"
Smear pan to cook cheese,PARMESAN,8
Very dark in Kentucky,INKY,4
A corpse: important one?,SOMEBODY,8
"In Berlin, dainty girl",LINDA,5
"Going along with others, one’s on foot",IN STEP,"2,4"
"Like some workers, needing houses destroyed",SEMI-SKILLED,12
Unfavourable notice on poem,ADVERSE,7
Reasonable-sounding food,FARE,4
"Police force, green, admire criminal",GENDARMERIE,11
Need just showing self-indulgence,WANTONLY,8
Match the Devil,LUCIFER,7
A pastry’s built up in layers,STRATA,6
Express dismay as relative has nothing to eat,GROAN,5
Deck going up and down,POOP,4
"Scot's pretty heartless, certainly not fed up!",BONY,4
Two boys look embarrassed to get a big hand,ROYAL FLUSH,"5,5"
Endless fun with French girlfriend in US city,LARAMIE,7
"Dramatist, English writer, penning story",MOLIERE,7
Alcohol's taken in small drops — it's silky stuff,GROSGRAIN,9
Med resort's inspiring hotel in suitable place,NICHE,5
"Backing statute, rulers second support for motion",WALKING STICK,"7,5"
"Pub riot, with cokes spilled? It's young people's entertainment",PICTURE BOOKS,"7,5"
High official and old men laugh,PASHA,5
Building feature: walls in Nevada and Delaware,COLONNADE,9
Tongue in need of a drink,ARABICA,7
Take away starter of tempura transported back,DETRACT,7
"Bird's places for putting some wool, say",GREENSHANK,10
Runner would briefly lose control in motion,SKID,4
"£50 in pocket, have fine attire",BALLGOWN,8
Just managed to put up with Lowry novel,NARROWLY,8
Round and large character,OMEGA,5
Saltire bedecked by a church's patterned covering,AXMINSTER,9
Dossier's place in affair besetting current politicians,FILING CABINET,"6,7"
"In France, a key old international agency",UNESCO,6
What about two media bigshots gets noticed,HEEDED,6
Noticing Mafia criminal blowing things up,MAGNIFICATION,13
Barge in front of canal has great horses around,GATE,4
Beastly male with an aggressor's weapon,TOMAHAWK,8
Agreed East End's in need of renovation,ASSENTED,8
Jumped in Sierra before accident,SPRANG,6
Property to develop? Not at first,ESTATE,6
Left port carrying cargo,LADEN,5
Move around behind large stove,REARRANGE,9
Old-fashioned fool interrupts gym class,PASSE,5
Bullet casing with raised line found behind barrow?,CARTRIDGE,9
Son to possess smooth face?,SHAVE,5
Nice try in developing urban problem area?,INNER CITY,"5,4"
Kitchen for craft right out of art venue,GALLEY,6
"Look, lad’s not finished garden feature",GAZEBO,6
Off-the-shoulder end of Teeswater held by wire fastener beside ship,STRAPLESS,9
Fool accepting second surprising plot development,TWIST,5
Goddess of beauty atrophied terribly,APHRODITE,9
Beam of light in contact with synthetic fabric,RAYON,5
"Aircraft circling fringes of eastern New York, which Beatles sang about",PENNY LANE,"5,4"
"Get to mislead, with Republican replacing Democrat",RECEIVE,7
Publicising longest UK road with circular shape,AIRING,6
"Less common instalment of Frasier, a rerun",RARER,5
Encouraging sign from sleepy land?,NOD,3
"European, extremely old, stopping to become less hard occasionally",EVERY SO OFTEN,"5,2,5"
"One might be attached to a parcel, a tiny bit of land?",POSTAGE STAMP,"7,5"
Flashy gem that gets waved around when guy’s on fire?,SPARKLER,8
Name I yet find strange,IDENTIFY,8
"Gold and stone, before going without luxuries",AUSTERE,7
Eye part which damage could make tear in?,RETINA,6
Someone acting for another in favour of two unknowns,PROXY,5
Layer often found in batteries?,HEN,3
Batter fish first then start to steam rhubarb,CODSWALLOP,10
"Drink from a small can, briefly",ASTI,4
Ugly ball he smashed gets show of amusement,BELLY LAUGH,"5,5"
Not in favour of major road skirting edges of Newport,ANTI,4
Allow prince to be very nasty indeed,LETHAL,6
Private place for film?,IN CAMERA,"2,6"
Prepare to go round part of theatre,DRESS CIRCLE,"5,6"
Portable food didn’t have drink for Spooner,PACKED LUNCH,"6,5"
"Grannie follows deer — trying, at first, to be still",STAGNANT,8
Source of wine for artist in restaurant,CARAFE,6
A doctor’s old reading desk,AMBO,4
Made a meal of deliveries and declared,OVERSTATED,10
Flat race is short,EVEN,4
Make a bloomer in return for a sweet and spicysnack,BRANDYSNAP,10
Hastily mend an old paving stone,COBBLE,6
Remove obstruction in river,DELETE,6
Approach Polish guys outside a southern capital?,WAYS AND MEANS,"4,3,5"
Perhaps metal from church roof in the van,LEAD,4
Setting up keyboard instrument with one pipe,ORGANISING,10
"I order you to serve porridge, for example",SENTENCE,8
Made it twice possibly?,IMITATED,8
"Around end of dinner, food served includes anunhealthy-looking cake",DANISH PASTRY,"6,6"
Good batting at all times by George!,WELL I NEVER,"4,1,5"
Rat initially attracted by rubbish put outside,APOSTATE,8
Grope for board game,SCRABBLE,8
Sailor climbing brown palm,RATTAN,6
Finally strippers finish burlesque,SEND-UP,7
Look happy when dull work is nearly done,GRIN,4
ID card's not in order? That's harsh,DISCORDANT,10
"Academic needs east-facing study, it's assumed",DONNED,6
Flowing water about to invade street in the morning,STREAM,6
Pernickety person — kind inside,TYPE,4
"Fairy, cast off, died",PERISHED,8
"Poor area to reach, going outside hotel",GHETTO,6
"A Catholic, the female who may have a quiver?",ARCHER,6
My virtue,GOODNESS,8
Beast that is cross — bull initially confined,IBEX,4
Fret about wading bird seen by river,REGRET,6
To deal with soldier takes time,MANAGE,6
People in limousines? You may see them at weddings,CARNATIONS,10
Nothing right in girl? That's hard!,IVORY,5
Prisoner given shelter is satisfied,CONTENT,7
Marxist maybe looking hot and bothered?,RED,3
For Europeans it's a terrible strain to accommodate us,AUSTRIANS,9
Stipulations for academic periods,TERMS,5
Some enter a cemetery: a bit of a bloomer,RACEME,6
Harry eats rubbish? I object!,PROTESTER,9
"Former President in small house, gone",HOOVER,6
"Wine? Sing, drinking one — then get another one!",CHIANTI,7
Greek party with wealth not half evident,DORIC,5
The Spanish drink in Scottish city,ELGIN,5
"Bird once in trench, having lost tail",MOA,3
Officer’s plan again to retreat,WARDER,6
Tribe has bewildered language expert,HEBRAIST,8
Looked at team getting embarrassed after trick,CONSIDERED,10
Island for the nobs featured in back issue of periodical,GUAM,4
"Reduce something bloody, having got back in time",DEROGATE,8
Endless chatter around a fellow's clubs,LATHIS,6
Sheep runs that may hold water,EWER,4
This person is probing your old-fashioned food content,THIAMINE,8
"Poet’s line, one on compassion",LOVELACE,8
Bed or mattress? It may be found in here,DORM,4
"Affected by bugs, get cold after first day of month",SEPTIC,6
Melting tarmac starts to restrict some vehicles,TRAMCARS,8
Magical power of weaver in story spoken of,MANA,4
Priest and French actor performing? It's uplifting,LEVITATION,10
Base established — cycle around it?,PEDESTAL,8
Perversion is admitted by unfortunate male,SADISM,6
Pole’s few lines of poetry,ANODE,5
Sure to be upset following party conversation,DISCOURSE,9
Spoke favouring reform — not Conservative,RADIAL,6
Several faiths TV represented in a religious celebration,HARVEST FESTIVAL,"7,8"
"Short chum sits on meadow, squashing one plant",BUDDLEIA,8
"Strong tastes, first to last, creating uncomfortable feeling",ANGST,5
Trader giving one artist supply,STATIONER,9
"With something large in the environment, lose out completely",WHOLESALE,9
Resolved to restrict cold with health-giving ingredients,MEDICATED,9
Inscribed within church window maybe see knight,LANCELOT,8
Love appearing in underwear in funny shows,PANTOS,6
Traffic needs to speed up heading for Edinburgh,TRADE,5
Cheats and criminals caught out,ROOKS,5
Key rings unable to be brought up,TABOO,5
Frantic chase with army ducking shots,CAMERA-SHY,10
Not including design leaving a waste product,EXCRETION,9
Asian dog covering miles,TAMIL,5
"Getting unseated, mounted fighter's lost face",OUSTER,6
Tag game outside involved tariff,GRAFFITO,8
"Loudly entering drunk, sense I might get duped",SOFT TOUCH,"4,5"
Like this young lady from East African port,LAGOS,5
Plaintiff's back behind person who won't be appealing?,FRUMP,5
Like to dig into top grub prepared here?,GASTROPUB,9
Go off a person in party giving a twirl,ROTATORY,8
"Periodically, varsity hymn gets a complaint",ASTHMA,6
Give a lift to European and others around,ELATE,5
"Bourbons knocked back by this general: a vulgar, boring soldier",GARIBALDI,9
British are out to block harsh brickbat,RASPBERRY,9
Writer quite slowly knocking out leading article,DANTE,5
We're short of tailored clothing that's tight,THE WORSE FOR WEAR,"3,5,3,4"
Funds in Madison County,BUCKS,5
Fail to limit fare before passing through duty-free?,OVEREAT,7
Cold sauce for prune,CLIP,4
Upset stomach in the end for Burger King fan,MONARCHIST,10
"Tee off straight, feeling pity for others once",RUTHFUL,7
Calling for cuts on winning résumé,SUMMING-UP,10
A single chicken sandwich,YELLOW SUBMARINE,"6,9"
Chirpy Australian doctor on a run after shift,BUDGERIGAR,10
Fliers in tropics giving clue for bananas,FRUIT BATS,"5,4"
"What might season reportedly be, after fuss?",POTHERB,7
Did rebel call the wrong way? It'll prove a bloomer,ROSEBUD,7
Treasure for Paris Commune Le Havre's seized back,HELEN,5
Sally hasn’t got over fight,FRAY,4
Cycle on the side of a drop and court disaster,RIDE FOR A FALL,"4,3,1,4"
Very fine short name for a hedgehog?,SONIC,5
Fully discuss party no longer in the game,THRASH OUT,"6,3"
Organ stop in list,REGISTER,8
Appear in an excited state after parade,SHOW UP,"4,2"
Poisonous liquid in alcohol taken by him at the end,METHANOL,8
Watchword of guy painting in retirement,MANTRA,6
In goal blocking shot,TRENDY,6
"Female changed, then sat on the fence",FALTERED,8
Standards concerning rector,PARSON,6
"Rank reduced, so resign",STEP DOWN,"4,4"
Musical passage in film,ANNIE HALL,"5,4"
Fool about to produce gunpowder ingredient,NITRE,5
"Out of harm's way, insane criminals",SAFE,4
"Stage right, Oscar to play guitar",ROSTRUM,7
Please understand term gent now misused when feeding dog,DONT GET ME WRONG,"4,3,2,5"
"Concentrate following commander, American",FOCUS,5
Betrayed the trust of lecturer after treat misinterpreted,RATTED ON,"6,2"
Plant in bogland across river,FERN,4
"Fail to win compassion, become disillusioned",LOSE HEART,"4,5"
"What may be a comfort to one who's just retired? (3-5,6)",HOT,3
More work!,UTOPIA,6
Group of stars with capital attorney,ANDROMEDA,9
Leader of revolt having measure of power over revolutionary count,WAT TYLER,"3,5"
Picture which involves work,TOP HAT,"3,3"
Housekeeper died: ravens flying about,DANVERS,7
Fear of god?,PANIC,5
Club's male champion,MACE,4
"Key area, watering hole",SPACE BAR,"5,3"
"Worn out, quiet cat dropping head",SHABBY,6
"Cloth cutter, reportedly, for a beginner?",CURTAIN RAISER,"7,6"
Total when innings complete?,ALL,3
Philanderer’s limitless charm embraced by group I love,LOTHARIO,8
Utopian novel italicised,IDEALISTIC,10
Nation marked for deletion?,TOGO,4
"Primate mentioned briefly, dressing king",SAKI,4
"Adjustment made in time, spring back",LEAP SECOND,"4,6"
File in woodland getting lost,DOWNLOAD,8
"Leave on Christmas morning, possibly with papa",DECAMP,6
"Novelist and critic cross, furious with English city",FORD MADOX FORD,"4,5,4"
Case of Welshman bagging very wild dragon,WYVERN,6
Show on television initially in the money,PRETENCE,8
Cream shown in one's cups,PICKLED,7
"Fat tummy, big concern",CORPORATION,11
Condemn explosion,BLAST,5
"Lock phone, given licence",RINGLET,7
Film role in bag with support of American,SPARTACUS,9
Muscles  stopping system,ABS,3
Cuckoo  making beastly noise,BARKING,7
Soldier very bitter over identical issue getting high,ANTICYCLONE,11
"Sad if solemn, a British dependency",ISLE OF MAN,"4,2,3"
"So distant, a buzzer in private chamber?",ALOOFLY,7
Ready to bat after opener dismissed? Seemed likely,ADDED UP,"5,2"
"Loco caught by travelling icon, always on the move",NOMADIC,7
"French figure that is from New Orleans, say?",DIXIE,5
"Grain in granary, evidently!",RYE,3
Tough guys breaking ribs? Sure!,BRUISERS,8
Like one with a large landmass,ASIA,4
Queen follows favourite saint,PETER,5
A word we hear in a German accent? So it's alleged,AVERRED,7
Cooler that is cold inside,ICE,3
Proposed name I don't change,NOMINATED,9
I'm taken aback by anger? That's an illusion,MIRAGE,6
Sibling ignoring the second disturbance,BOTHER,6
Lorna's family has least amount of data to contribute,DO ONES BIT,"2,4,3"
Sprite seen in hotel foyer,ELF,3
Tie up an awkward flower,PETUNIA,7
Confused when sailing?,AT SEA,"2,3"
Mormon's end beside salt lake,TARN,4
Begin to understand material one doesn't finish,COTTON ON,"6,2"
Initiation that's suitable is in British Museum,BAPTISM,7
Family member doesn't start to let loose,UNTIE,5
Jump on places for putting veg,SPRING GREENS,"6,6"
Province in actual centre of Germany,REALM,5
Withdraw with minor injury,SCRATCH,7
Extra snake almost died,ADDED,5
Simple dish — not as snob ate in mess,BEANS ON TOAST,"5,2,5"
Cock Robin initially waving to Rose,ROOSTER,7
Hold back from the chorus,REFRAIN,7
Extremely desirable drug store,DEPOT,5
Encouraging word for Charlie's predecessor,BRAVO,5
Uncommon sense in a German city,ESSEN,5
Redesigned forms treated to show economists’ ratio,TERMS OF TRADE,"5,2,5"
Moved fast around resort — more than needed,TO SPARE,"2,5"
"Widow’s share some shrew, odd, recalled",DOWER,5
"Coffee, second of two, unfinished",LATTE,5
"French king tucked into fowl, English, wonderful lady supplied",HEROINE,7
Clubs fancy something spicy?,CLOVE,5
"Endlessly, the guard returned bringing sort of beer",DRAUGHT,7
A missing Citroen car crashed? Wrong,INCORRECT,9
Trade Union at first meet Corporation,TUM,3
Clandestine people see City sector in trouble,SECRET SOCIETY,"6,7"
"Become active in Antibes, tireless",BESTIR,6
Server missing one essential liquid,WATER,5
Organised top celestial event in the heavens,TOTAL ECLIPSE,"5,7"
"Dish — very dry, provided in port",RISOTTO,7
"Ascending in medieval society, one worked hard",SLAVE,5
New farmer oddly quiet,FRESH,5
"Darts, beer, excited Robin?",REDBREAST,9
"Duke having setter, strangely, in place of PM",DOWNING STREET,"7,6"
"Eager to be hugged by wizard, enthralling",ARDENT,6
Serious attention retreat needed,EARNEST,7
"Lady’s maid, / part of the furniture?",DRESSER,7
Introduction of competition hurt store,CACHE,5
Municipal head from Irish county? Right,MAYOR,5
"Raven’s cry, primarily croaky and whiny",CAW,3
"Publication by students with classy, clean content, fantastic achievement",MAGNUM OPUS,"6,4"
Youngster swallows large part of tooth,PULP,4
"Where some are playing football, or riding around",GRIDIRON,8
"Lights finally low, central heating on, kiss and cuddle",SMOOCH,6
Corpse is gory: look out,BODY,4
A reminder of the late quality of wine,GRAVESTONE,10
Scrub fork clean for a bit of breakfast,CORNFLAKE,9
Refuse hard slog,MARCH,5
Burned remains after emptying secret store,STASH,5
Loss of earnings shocking to Mexican,INCOME TAX,"6,3"
"Two obstacles, very large: it’s for a Russian invasion",BARBAROSSA,10
Creed not one to criticise harshly,SLAM,4
Dish youngster eats sport being over,TUREEN,6
A chronicler’s first to be replaced — his charges can be stinging,APIARIST,8
"Caught, not many would quarrel at length",FEUD,4
Router sends digger round Bath,DISPATCHER,10
Be getting on motorway over part of England to make fortune,MEGABUCKS,9
"Smile, darling, although missing a tooth",GRINDER,7
"To take a rich husband, they say, may be a bloomer",MARIGOLD,8
"Pay attention: after nip, as it were, I burn",PIN BACK ONE,"3,4,3"
Worked out divided county has ended up different,SUSSED,6
Lying for the country has caught ambassador finally,PROSTRATE,9
Saying little boy almost in shape for ice cream?,LACONIC,7
See blonde squirming: why is she red in the face?,NOSEBLEED,9
Hotel inside western city a mile and six feet,HEXAMETER,9
Portrait of animal so original,MONA LISA,"4,4"
"Speak badly of drug, taken regularly in tiny amount",TRADUCE,7
Composer reaching height? Rather unlikely,TALLISH,7
"Palladium, introducing old character, cut back",PRUNED,6
A couple of lines crossing everywhere,ALL OVER,"3,4"
"Beatle's back in USSR, playing tricks",RUSES,5
Check a Buddhist at regular intervals,AUDIT,5
One male voice giving nothing away,IMPASSIVE,9
Singular cup-bearer with vacant expression still here?,SHEBEEN,7
Lug in that case of clay,EARTHEN,7
Worker occasionally draws injured people,CASUALTIES,10
"Head, bowled out in past times",ONCE,4
Obstinate person endlessly holding a hammer,MAUL,4
Break out with Toad's means of locomotion,SKATEBOARD,10
Producer of keys? Not for Ghanaians,ASHANTI,7
"Emperor, short and fat, mostly as a figurehead",TITULAR,7
Tool displays more wings for aircrew,SCROLL SAW,"6,3"
Treatment of savant by university,USAGE,5
Trifling child,MINOR,5
"Pray with heart not with head, returning thanks",ENTREAT,7
Begin to deal with notice on deck,ADDRESS,7
In airport goddess replaces old Christian,LUTHERAN,8
Gesture saving ground with a shed,V-SIGN,6
Stand for show again?,REPRESENT,9
Stop outside or go,RESORT,6
Son embraced by saint,SWITHIN,7
Letters from schoolmaster never enforcing discipline,STERN,5
Aspic possibly combined with pepper,CAPSICUM,8
Bear children and be disagreeable,TAKE ISSUE,"4,5"
"Conclusion about county, not quite approved",ENDORSED,8
Busts are terribly hard to grasp,ABSTRUSE,8
"Introduce American drug, ignoring blood group",USHER IN,"5,2"
No fewer than fifty each in a test (not English),AT LEAST,"2,5"
Strong feeling about large person fastening flies?,ANGLER,6
Tea from northbound service area,ASSAM,5
That is how to move a trailer,TO WIT,"2,3"
Closely examine small prison,SCAN,4
Both Stuart and Dionne half-completed artist's workroom,STUDIO,6
Trade show open,FAIR,4
Jazz pianist favoured by royal relative after award,OSCAR PETERSON,"5,8"
Unmarried man excited Chloe in pub,BACHELOR,8
One who stands against the old decaying gates enclosing unit,AGEIST,6
Little Florence entertains blokes in Athletic club dance,FLAMENCO,8
US composer whinges awfully about intro of record,GERSHWIN,8
Recalled article by North European on military general,NAPOLEON,8
Perhaps calf is a beast of burden carrying sack regularly,MUSCLE,6
Everyone outside potty over handsome young man,APOLLO,6
First couple of children in A&E hurt,ACHE,4
"School prize went to son, finally",ETON,4
Fruit satisfied in fall,PLUMMET,7
Place to set free American skunk,POLECAT,7
Forgers concerned with one article in museum,SMITHSONIAN,11
Letter recently ignored in stamp collecting,PHI,3
"Mass of eggs, but not the first year in bird sanctuary",AVIARY,6
Comic show needs help over name,COMEDIAN,8
Father rows with son about celebrity’s wicked cruelty,DASTARDLINESS,13
Making accusations about mostly unlawful politician,RECRIMINATORY,13
I’m after gold that’s fake,IMPOSTOR,8
Only partially sanguine about money,GUINEA,6
There’s a point to this law needing reform,AWL,3
Popular — till people will show resentment,INDIGNATION,11
Completely or nearly closed account,TOTALLY,7
Note port light on front of German boat,DREDGER,7
Mischievous child cuts leg off its first unit,PASCAL,6
One sacked after university abandons resistance,UNIFIED,7
Graduate severe about one current leading teacher,MAHARISHI,9
Pack’s expelled a communist,TROT,4
Original clock face has proper gold on it,PRIMORDIAL,10
Organ adds energy for fast movement,LUNGE,5
